operator,amenity,layer,opening_hours,parking_type,Parking Station Name,Coordinates,Rate Zone,Zone Info,Location ID,Geometry Type,CenterPoint,CenterPoint_rad,Distance to Nearest,CenterPoint_tuple,Distance to Others
N/A,parking,N/A,N/A,multi-storey,Unnamed,"[[-73.9478569, 40.7964052], [-73.9479414, 40.7964407], [-73.9479521, 40.7964261], [-73.9482423, 40.7965479], [-73.9483162, 40.7965789], [-73.9479992, 40.797015], [-73.9476304, 40.7968601], [-73.9476408, 40.7968459], [-73.9475609, 40.7968124], [-73.9478569, 40.7964052]]",Outerborough,Zone 3 - (All Vehicles $1.25 1st Hour / $2.00 2nd Hour),75,LineString,"[-73.94793855, 40.7967101]","[-1.2906350027599416, 0.712036915226625]",1.9776717971684683,"(-73.94793855, 40.7967101)","[1.0575352351612513, 1.0710940419798727, 0.3277171919006888, 0.32692843183838427, 0.6287553102738824, 0.6292083112715141, 0.9096933029992639, 0.3238107423269595, 0.26113342567790576, 0.2910533399845383, 0.2612525092133306, 0.29686394611631045, 0.5563800483108865, 0.1811692359110132, 0.3604240184945824, 0.23571338611034806, 0.8529232975492493, 0.4553941774821129, 0.347483151293406, 0.6507330403230575, 0.5326352170979939, 0.8079247629523718, 0.8395507445630646, 1.0652471001541024, 0.9381238356912299, 0.34379077959645554, 0.3434857069397034, 0.28124803093896467, 1.0288463168699429, 0.6210486046136675, 0.911038413726621, 0.32819529498690975, 0.2550333537870731, 0.2961817911671599, 0.2627760413221827, 0.2950785251464382, 0.5590331447357323, 0.18027239713281829, 0.363243837557913, 0.22699247598040787, 0.8484059983185198, 0.457301442930623, 0.35316093063414267, 0.6500841249179468, 0.5349286499694235, 0.8146574716095736, 0.8440718682355489, 1.0699838494335956, 0.9421961934039698, 0.34209077024316625, 0.3281490336701081, 0.28130967363001297, 1.035418263560046, 0.6229623430875005, 0.5150790286632861, 0.34717389740385857, 0.021565876546503146, 0.7411277654265387, 0.2914828525531976, 0.44404795614455067, 0.5502494477866894, 0.5224739270984322, 0.3509525557099569, 0.3509525557099569, 0.44743380470115274, 0.29383203063164354, 0.8058675959871319, 0.8943715105936324, 0.321744960076953, 0.4973798156738168, 0.6729291689877275, 0.06544386236639248, 0.6808241519753023, 0.6642810457320261, 0.677793699882825, 0.48127086270836517, 0.4575522176327924, 0.9285704050161266, 0.5907556526301845, 0.30808463829159294, 0.5056225526603854, 0.6716748097686025, 0.06004067167471571, 0.6800216924938169, 0.666410577611798, 0.6813297643410985, 0.4816738170584215, 0.4608418443540995, 0.9236916702219112, 0.5843699942895951, 0.3046041208055368, 0.2742263391321642, 0.17403150456881603, 0.1279891911938842, 0.30256485094676494, 0.2708735055146685, 0.17951918355522756, 0.13550643728120915]"
SP+ Parking,parking,N/A,24/7,multi-storey,East River Plaza Garage,"[[-73.931788, 40.7952667], [-73.9317718, 40.7952892], [-73.9316572, 40.7952421], [-73.9315231, 40.7951853], [-73.931514, 40.7951979], [-73.9314753, 40.7951818], [-73.9313999, 40.7951504], [-73.9314086, 40.7951379], [-73.931349, 40.7951127], [-73.9311451, 40.7950273], [-73.9311356, 40.7950402], [-73.9310966, 40.7950246], [-73.9310203, 40.7949941], [-73.9310305, 40.7949794], [-73.9309755, 40.7949566], [-73.9307541, 40.7948669], [-73.9309027, 40.7946547], [-73.9312481, 40.7944664], [-73.9312542, 40.794463], [-73.9313378, 40.7944555], [-73.9314258, 40.7944921], [-73.9314582, 40.7945486], [-73.9314432, 40.7946038], [-73.9315029, 40.7945242], [-73.9320799, 40.7947627], [-73.9323226, 40.7948649], [-73.932405, 40.7948991], [-73.9323804, 40.7949329], [-73.9322338, 40.7951338], [-73.9320532, 40.7953813], [-73.9319681, 40.7953448], [-73.9318678, 40.7953022], [-73.931788, 40.7952667]]",Outerborough,Zone 3 - (All Vehicles $1.25 1st Hour / $2.00 2nd Hour),74,LineString,"[-73.93157955000001, 40.7949184]","[-1.2903494843476078, 0.7120056441624171]",2.8503207909958257,"(-73.93157955000001, 40.7949184)","[0.3261482816337104, 0.32552211393711716, 1.0848711681729588, 1.0873849139825165, 0.46482770816028585, 0.4614759308768372, 0.11620505886085976, 0.07775157545884624, 0.06314980757313794, 0.14232268637377943, 0.18465440679796286, 0.27884864127915926, 0.25879386860830805, 0.26034565345762267, 0.44106801703987103, 0.38604319313157387, 0.7880091831434897, 0.5330964489702826, 0.6541448667962934, 0.39417883965123063, 0.5172524188544476, 0.4166191608319235, 0.1420471232828316, 0.10497890071412841, 0.11287148896200788, 0.07948301730078833, 0.06306756525537857, 0.13770666069552204, 0.17681179341137146, 0.27463251305219144, 0.25387441374111264, 0.2570550808134163, 0.4371081360165682, 0.3812153299266042, 0.7875002567767344, 0.5481943667318382, 0.6663140006598218, 0.40063061085174606, 0.5237527660517329, 0.42453360837782533, 0.15221403441369874, 0.1142870378356838, 0.003420870093067137, 0.15463591214204164, 0.22230451459194486, 0.30738578151317386, 0.6184760846489371, 0.45062997744049427, 0.7452955141631546, 0.2850330186300045, 0.14750972437031387, 0.19738881024827223, 0.9395498684007533, 0.6180604413892972, 0.5877755225456157, 1.0645539602280996, 1.1407663193377275, 0.878109939254504, 0.8567059111183657, 0.5797989585347769, 0.05625152584340698, 0.5348562701232129, 0.10919551488826179, 0.10919551488826179, 0.19638993002257657, 0.18163598401669637, 0.3540656515980827, 0.6455161196817293, 0.46662412935268033, 0.7658742149068056, 0.3221888885840342, 0.20896477863813745, 0.2326332992263145, 0.9058021943791725, 0.6164031946215505, 0.5905951879329022, 1.0329844786052578, 1.1397423782452094, 0.8447626589126229, 0.8261640168028803, 0.6230989694062141, 0.15901793188638577, 0.5864438815138988, 0.005168575062415655, 0.7383442532018367, 0.977054097285836, 0.8866180551327001, 0.737973389790044, 0.9893910484067187, 0.891461084034085, 1.1965326521299489, 1.0038377511009586, 0.0920674332942746, 1.1933444677172471, 1.0038778968159068, 0.08854556138098875, 0.2744276568746716, 0.2700198588600261]"
N/A,parking,N/A,N/A,multi-storey,Unnamed,"[[-73.9461032, 40.8081932], [-73.9467704, 40.8084728], [-73.9465722, 40.8087458], [-73.9468239, 40.8088513], [-73.9468034, 40.8088794], [-73.9468079, 40.8088813], [-73.946717, 40.8090065], [-73.9467125, 40.8090046], [-73.9466951, 40.8090286], [-73.9466632, 40.8090152], [-73.946661, 40.8090182], [-73.9464717, 40.8089389], [-73.9464739, 40.8089359], [-73.9464405, 40.8089219], [-73.9464301, 40.8089363], [-73.9457658, 40.8086579], [-73.9459054, 40.8084657], [-73.9461032, 40.8081932]]",Outerborough,Zone 3 - (All Vehicles $1.25 1st Hour / $2.00 2nd Hour),41,LineString,"[-73.94629485, 40.8086109]","[-1.2906063147830265, 0.7122446233702464]",27.551275989965063,"(-73.94629485, 40.8086109)","[0.3769848848160393, 0.3627780713422677, 0.8785219022700069, 0.8833215871366595, 0.5722936146714489, 0.5698294119892928, 0.010401688874621033, 0.09372082456578296, 0.10446325069720967, 0.10446325069720967, 0.1909304933277994, 0.001408015699776132, 0.197610094909669, 0.8110192460048308, 0.4351782647222151, 0.13740543243248443, 0.39171854482204504, 0.8827665865498636, 0.548469850073577, 0.19937493924018376, 0.8157321724229025, 0.4436467871569965, 0.13147536564883758, 0.3947074664239207, 0.8863074699488986, 0.5578937004576032, 0.16756688544917403, 0.16751055336238466]"
N/A,parking,N/A,N/A,multi-storey,Unnamed,"[[[[-73.9468239, 40.8088513], [-73.9465722, 40.8087458], [-73.9467704, 40.8084728], [-73.9461032, 40.8081932], [-73.9459054, 40.8084657], [-73.9457658, 40.8086579], [-73.9464301, 40.8089363], [-73.9464405, 40.8089219], [-73.9464739, 40.8089359], [-73.9464717, 40.8089389], [-73.946661, 40.8090182], [-73.9466632, 40.8090152], [-73.9466951, 40.8090286], [-73.9467125, 40.8090046], [-73.946717, 40.8090065], [-73.9468079, 40.8088813], [-73.9468034, 40.8088794], [-73.9468239, 40.8088513]]]]",Outerborough,Zone 3 - (All Vehicles $1.25 1st Hour / $2.00 2nd Hour),41,MultiPolygon,"[-73.94653561666668, 40.808822488888886]","[-1.2906105169540891, 0.7122483162930181]",27.551275989965063,"(-73.94653561666668, 40.808822488888886)","[0.3769848848160393, 0.3627780713422677, 0.8785219022700069, 0.8833215871366595, 0.5722936146714489, 0.5698294119892928, 0.010401688874621033, 0.09372082456578296, 0.10446325069720967, 0.10446325069720967, 0.1909304933277994, 0.001408015699776132, 0.197610094909669, 0.8110192460048308, 0.4351782647222151, 0.13740543243248443, 0.39171854482204504, 0.8827665865498636, 0.548469850073577, 0.19937493924018376, 0.8157321724229025, 0.4436467871569965, 0.13147536564883758, 0.3947074664239207, 0.8863074699488986, 0.5578937004576032, 0.16756688544917403, 0.16751055336238466]"
N/A,parking,N/A,N/A,multi-storey,Unnamed,"[[-73.9601549, 40.8123782], [-73.9602617, 40.8124231], [-73.9603409, 40.8124563], [-73.959519, 40.8135838], [-73.9593334, 40.8135057], [-73.9597663, 40.8129115], [-73.9600742, 40.812489], [-73.9601549, 40.8123782]]",Outerborough,Zone 3 - (All Vehicles $1.25 1st Hour / $2.00 2nd Hour),166,LineString,"[-73.95983715, 40.812981]","[-1.2908426725063193, 0.7123208960038878]",16.466063252771765,"(-73.95983715, 40.812981)","[0.39808720125524466, 0.39808720125524466, 0.38220126094121376, 0.7354761397613642, 0.5622246553430256, 0.5353224967682216, 0.7140636527541372, 0.9730078058509596, 0.8761293831876775, 0.35500551295518196, 0.5681734278049354, 0.7310611289448017, 0.5592210723210013, 0.5274620902471762, 0.7108917867828138, 0.9717348228013263, 0.8611959051576177, 0.34770776703981143, 0.5653881982284]"
N/A,parking,N/A,N/A,surface,Edison Park Fast,"[[-74.0048902, 40.7061083], [-74.0046997, 40.7059508], [-74.0045545, 40.7060525], [-74.0044811, 40.7059917], [-74.0043568, 40.7060788], [-74.0045261, 40.7062281], [-74.004605, 40.7062976], [-74.0048902, 40.7061083]]",Financial District,Zone M1 - (Commercial Vehicles $6.00 1st Hour / $7.00 2nd Hour / $8.00 3rd Hour - All Vehicles $4.50 1st Hour / $7.50 2nd Hour),87,LineString,"[-74.00462350000001, 40.7061242]","[-1.29162434177377, 0.7104558930157427]",0.7135845554963285,"(-74.00462350000001, 40.7061242)","[0.4155796102015167, 0.0007135845554963285, 0.0007135845554963285, 0.08259704869623331, 0.08672115083763217, 0.2807804732311854, 0.2859300116551623, 0.10776623412343622, 0.10287861760420984]"
N/A,parking,N/A,N/A,multi-storey,Unnamed,"[[[[-73.9603409, 40.8124563], [-73.9602617, 40.8124231], [-73.9601549, 40.8123782], [-73.9600742, 40.812489], [-73.9597663, 40.8129115], [-73.9593334, 40.8135057], [-73.959519, 40.8135838], [-73.9603409, 40.8124563]]]]",Outerborough,Zone 3 - (All Vehicles $1.25 1st Hour / $2.00 2nd Hour),166,MultiPolygon,"[-73.9599739125, 40.8127754875]","[-1.2908450594622376, 0.7123173091341088]",16.466063252771765,"(-73.9599739125, 40.8127754875)","[0.39808720125524466, 0.39808720125524466, 0.38220126094121376, 0.7354761397613642, 0.5622246553430256, 0.5353224967682216, 0.7140636527541372, 0.9730078058509596, 0.8761293831876775, 0.35500551295518196, 0.5681734278049354, 0.7310611289448017, 0.5592210723210013, 0.5274620902471762, 0.7108917867828138, 0.9717348228013263, 0.8611959051576177, 0.34770776703981143, 0.5653881982284]"
N/A,parking,N/A,N/A,N/A,Unnamed,"[[-73.9546691, 40.8233642], [-73.9551643, 40.8235743], [-73.9550572, 40.8237199], [-73.954562, 40.8235098], [-73.9546691, 40.8233642]]",Outerborough,Zone 3 - (All Vehicles $1.25 1st Hour / $2.00 2nd Hour),116,LineString,"[-73.95486315, 40.82354205]","[-1.290755859829325, 0.7125052210988556]",6.700203512454208,"(-73.95486315, 40.82354205)","[0.3731776933487019, 0.3786701001132313, 0.3786701001132313, 0.4375269283779194, 0.3775335088603709, 0.4330342598341683]"
N/A,parking,N/A,N/A,surface,Unnamed,"[[-74.0047486, 40.7140512], [-74.0045199, 40.7139509], [-74.0047958, 40.7136013], [-74.0050316, 40.7137081], [-74.0047486, 40.7140512]]",Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),231,LineString,"[-74.00477575, 40.71382625]","[-1.291626999037556, 0.7105903191473959]",5.574098828417852,"(-74.00477575, 40.71382625)","[0.640732381099219, 0.640732381099219, 0.13489928269182033, 0.3030353597297753, 0.9072423698759179, 0.8101138534308967, 0.8046261139581793, 0.4032987881206577, 0.48288211496969097, 0.1759347315324687, 0.22647530536239766, 0.4041064238889661, 0.48281042627953885, 0.17805861720877253, 0.2232540178224996, 1.208565607327159, 1.205690434070224, 1.0624172554328282, 0.7449699935383445, 1.0505133189670828, 0.7484460730622645, 0.5831745222766808, 0.5812694016556167]"
N/A,parking,N/A,N/A,surface,Unnamed,"[[-73.9985666, 40.7639231], [-73.9986216, 40.7638507], [-73.9987882, 40.7636315], [-73.9979699, 40.7632955], [-73.9977928, 40.7635309], [-73.9976207, 40.7637702], [-73.9978063, 40.763845], [-73.998199, 40.7638528], [-73.9983974, 40.7638568], [-73.9985666, 40.7639231]]",Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),50,LineString,"[-73.99820445, 40.7636093]","[-1.2915123082164197, 0.7114591972815809]",6.553477855204885,"(-73.99820445, 40.7636093)","[0.6981798576724682, 0.6567606970928109, 0.04192157496552177, 0.048409932419200816, 0.01409778725236878, 0.6495842295978506, 0.6495842295978506, 0.001666765102184626, 0.4097431690687128, 0.4381291943808845, 0.15239925827484388, 0.14726209621497108]"
N/A,parking,N/A,N/A,multi-storey,Icon,"[[-74.010504, 40.7047118], [-74.0106766, 40.7046088], [-74.0107891, 40.7045626], [-74.010942, 40.7044999], [-74.0110532, 40.7046935], [-74.010994, 40.7047184], [-74.0110048, 40.7047568], [-74.0107257, 40.7048023], [-74.0106969, 40.7047521], [-74.0105641, 40.7047963], [-74.010504, 40.7047118]]",Financial District,Zone M1 - (Commercial Vehicles $6.00 1st Hour / $7.00 2nd Hour / $8.00 3rd Hour - All Vehicles $4.50 1st Hour / $7.50 2nd Hour),88,LineString,"[-74.01077860000001, 40.7046511]","[-1.2917317685345595, 0.7104301825705316]",4.599216943157643,"(-74.01077860000001, 40.7046511)","[0.03058323273414919, 0.004599216943157643, 0.004599216943157643, 0.18118249981194137, 0.17828360644866298]"
N/A,parking,N/A,N/A,multi-storey,Unnamed,"[[-74.0061304, 40.7107936], [-74.0060522, 40.7107191], [-74.0059826, 40.7106528], [-74.0060133, 40.7106337], [-74.0061952, 40.7105075], [-74.0062264, 40.710486], [-74.0063754, 40.7106235], [-74.0061304, 40.7107936]]",Financial District,Zone M1 - (Commercial Vehicles $6.00 1st Hour / $7.00 2nd Hour / $8.00 3rd Hour - All Vehicles $4.50 1st Hour / $7.50 2nd Hour),209,LineString,"[-74.006179, 40.7106398]","[-1.2916514903702847, 0.7105347051034459]",1.1668373059111943,"(-74.006179, 40.7106398)","[0.214820008139748, 0.2136584319965281, 0.2136584319965281, 0.3493726654048785, 0.2160828453702446, 0.35570757787173374]"
N/A,parking,N/A,N/A,surface,Unnamed,"[[[[-73.9987882, 40.7636315], [-73.9979699, 40.7632955], [-73.9977928, 40.7635309], [-73.9976207, 40.7637702], [-73.9978063, 40.763845], [-73.998199, 40.7638528], [-73.9983974, 40.7638568], [-73.9985666, 40.7639231], [-73.9986216, 40.7638507], [-73.9987882, 40.7636315]]]]",Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),50,MultiPolygon,"[-73.99825507, 40.76371880000001]","[-1.291513191702087, 0.711461108417112]",6.553477855204885,"(-73.99825507, 40.76371880000001)","[0.6981798576724682, 0.6567606970928109, 0.04192157496552177, 0.048409932419200816, 0.01409778725236878, 0.6495842295978506, 0.6495842295978506, 0.001666765102184626, 0.4097431690687128, 0.4381291943808845, 0.15239925827484388, 0.14726209621497108]"
N/A,parking,N/A,N/A,surface,Unnamed,"[[-73.9923801, 40.7431883], [-73.9922486, 40.7431331], [-73.9922845, 40.7430845], [-73.9921167, 40.743014], [-73.9920836, 40.7430611], [-73.9919111, 40.7432985], [-73.9922105, 40.7434214], [-73.9923801, 40.7431883]]",Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),234,LineString,"[-73.9921456, 40.7432177]","[-1.2914065613350352, 0.7111032967218314]",6.404339744695657,"(-73.9921456, 40.7432177)","[0.27343546514414274, 0.27343546514414274, 0.23120991557196208, 0.20636708625020672, 0.11880700527448587, 0.16445421855781267, 0.20756697092141085, 0.11901692060075224, 0.16118780327710852, 0.5048210857177555, 0.5041776250314546, 0.04783405713488462, 0.04285756221121384, 0.16803608928342517, 0.4329565533260956, 0.17011656672405828, 0.42978864829539976, 0.23231597409586674]"
N/A,parking,N/A,N/A,surface,Unnamed,"[[-73.9894289, 40.7605188], [-73.9890433, 40.7603614], [-73.988953, 40.7604853], [-73.9888968, 40.7605674], [-73.9892804, 40.7607292], [-73.9893365, 40.7606456], [-73.9894289, 40.7605188]]",Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),48,LineString,"[-73.98916285, 40.760545300000004]","[-1.2913545025267714, 0.7114057203933]",3.6196291745331672,"(-73.98916285, 40.760545300000004)","[1.4693792035769637, 1.4693792035769637, 1.4596849111527908, 1.2273279900931007, 0.4894825873204619, 0.4617251511338812, 0.6741510262610023, 0.675563491676373, 0.8387437109718501, 1.0639116209200652, 1.0472573363031301, 1.1155248837890737, 0.7143003777192365, 0.6983941814553504, 0.8149360103575031, 0.8351612808720451, 1.0587217691660442, 1.04595810335134, 1.1009681557345394, 0.7107458555979614, 0.6836985866082618, 0.8102545804650074]"
N/A,parking,N/A,N/A,surface,Unnamed,"[[-73.987298, 40.7643332], [-73.987472, 40.7640946], [-73.987326, 40.7640376], [-73.9874924, 40.763803], [-73.9874703, 40.763793], [-73.9874347, 40.7637783], [-73.9873473, 40.7638982], [-73.9872626, 40.7640143], [-73.9872281, 40.7639994], [-73.9870697, 40.7642167], [-73.9870581, 40.7642321], [-73.9872223, 40.7643013], [-73.987298, 40.7643332]]",Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),48,LineString,"[-73.98727525, 40.76405575]","[-1.2913215576918107, 0.7114669893040264]",5.19036930388264,"(-73.98727525, 40.76405575)","[1.4693792035769637, 1.4693792035769637, 1.4596849111527908, 1.2273279900931007, 0.4894825873204619, 0.4617251511338812, 0.6741510262610023, 0.675563491676373, 0.8387437109718501, 1.0639116209200652, 1.0472573363031301, 1.1155248837890737, 0.7143003777192365, 0.6983941814553504, 0.8149360103575031, 0.8351612808720451, 1.0587217691660442, 1.04595810335134, 1.1009681557345394, 0.7107458555979614, 0.6836985866082618, 0.8102545804650074]"
N/A,parking,N/A,N/A,surface,Unnamed,"[[-73.9876095, 40.7630207], [-73.987306, 40.7628918], [-73.9872056, 40.7630286], [-73.9871397, 40.7631184], [-73.9874442, 40.7632458], [-73.9876095, 40.7630207]]",Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),48,LineString,"[-73.98737460000001, 40.7630688]","[-1.2913232916764228, 0.7114497637769739]",1.316838662157849,"(-73.98737460000001, 40.7630688)","[1.4693792035769637, 1.4693792035769637, 1.4596849111527908, 1.2273279900931007, 0.4894825873204619, 0.4617251511338812, 0.6741510262610023, 0.675563491676373, 0.8387437109718501, 1.0639116209200652, 1.0472573363031301, 1.1155248837890737, 0.7143003777192365, 0.6983941814553504, 0.8149360103575031, 0.8351612808720451, 1.0587217691660442, 1.04595810335134, 1.1009681557345394, 0.7107458555979614, 0.6836985866082618, 0.8102545804650074]"
Metropolitan Transportation Authority,parking,N/A,N/A,surface,Unnamed,"[[-73.98702, 40.7658533], [-73.9870843, 40.7657651], [-73.9871352, 40.7656954], [-73.9872551, 40.765531], [-73.9872404, 40.7655144], [-73.987169, 40.7654612], [-73.9870348, 40.7653986], [-73.986788, 40.7652961], [-73.9867826, 40.7653039], [-73.9865335, 40.7656465], [-73.98702, 40.7658533]]",Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),48,LineString,"[-73.98689429999999, 40.7655747]","[-1.291314908860025, 0.7114934999826997]",14.793495491401632,"(-73.98689429999999, 40.7655747)","[1.4693792035769637, 1.4693792035769637, 1.4596849111527908, 1.2273279900931007, 0.4894825873204619, 0.4617251511338812, 0.6741510262610023, 0.675563491676373, 0.8387437109718501, 1.0639116209200652, 1.0472573363031301, 1.1155248837890737, 0.7143003777192365, 0.6983941814553504, 0.8149360103575031, 0.8351612808720451, 1.0587217691660442, 1.04595810335134, 1.1009681557345394, 0.7107458555979614, 0.6836985866082618, 0.8102545804650074]"
N/A,parking,N/A,N/A,surface,Unnamed,"[[-73.9904289, 40.7596104], [-73.9903488, 40.7595754], [-73.99027, 40.7595422], [-73.9902136, 40.7596211], [-73.9901086, 40.7597653], [-73.9900938, 40.7597851], [-73.9902528, 40.7598505], [-73.9903277, 40.759748], [-73.9903468, 40.7597218], [-73.990403, 40.7596448], [-73.9904289, 40.7596104]]",Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),48,LineString,"[-73.99026135, 40.75969635]","[-1.2913736749686044, 0.7113909034206151]",3.555852394262788,"(-73.99026135, 40.75969635)","[1.4693792035769637, 1.4693792035769637, 1.4596849111527908, 1.2273279900931007, 0.4894825873204619, 0.4617251511338812, 0.6741510262610023, 0.675563491676373, 0.8387437109718501, 1.0639116209200652, 1.0472573363031301, 1.1155248837890737, 0.7143003777192365, 0.6983941814553504, 0.8149360103575031, 0.8351612808720451, 1.0587217691660442, 1.04595810335134, 1.1009681557345394, 0.7107458555979614, 0.6836985866082618, 0.8102545804650074]"
N/A,parking,N/A,N/A,surface,Unnamed,"[[-73.9904549, 40.7583004], [-73.9904874, 40.7582554], [-73.9905777, 40.7581304], [-73.9906088, 40.7580872], [-73.9906565, 40.7580223], [-73.9906488, 40.7580192], [-73.9905901, 40.7579947], [-73.9905702, 40.7579864], [-73.9905114, 40.7579618], [-73.9905789, 40.7578684], [-73.9905737, 40.7578568], [-73.9905809, 40.7578468], [-73.9905975, 40.7578432], [-73.9906222, 40.7578091], [-73.9906167, 40.7577972], [-73.99065, 40.7577511], [-73.9907287, 40.757784], [-73.9901775, 40.7575493], [-73.990002, 40.7577923], [-73.9900795, 40.7578275], [-73.9902891, 40.757915], [-73.9901152, 40.7581557], [-73.9904549, 40.7583004]]",Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),48,LineString,"[-73.99036535, 40.75792485]","[-1.2913754901110266, 0.711359984912916]",14.71353272966765,"(-73.99036535, 40.75792485)","[1.4693792035769637, 1.4693792035769637, 1.4596849111527908, 1.2273279900931007, 0.4894825873204619, 0.4617251511338812, 0.6741510262610023, 0.675563491676373, 0.8387437109718501, 1.0639116209200652, 1.0472573363031301, 1.1155248837890737, 0.7143003777192365, 0.6983941814553504, 0.8149360103575031, 0.8351612808720451, 1.0587217691660442, 1.04595810335134, 1.1009681557345394, 0.7107458555979614, 0.6836985866082618, 0.8102545804650074]"
N/A,parking,N/A,N/A,surface,Unnamed,"[[-73.9895783, 40.7589373], [-73.9894234, 40.7588725], [-73.989261, 40.7588045], [-73.989088, 40.7590421], [-73.9892111, 40.7590963], [-73.9893672, 40.7591635], [-73.9893991, 40.759177], [-73.9894761, 40.7590777], [-73.9895783, 40.7589373]]",Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),48,LineString,"[-73.98933315, 40.758990749999995]","[-1.2913574748224874, 0.7113785883774129]",4.790799825291615,"(-73.98933315, 40.758990749999995)","[1.4693792035769637, 1.4693792035769637, 1.4596849111527908, 1.2273279900931007, 0.4894825873204619, 0.4617251511338812, 0.6741510262610023, 0.675563491676373, 0.8387437109718501, 1.0639116209200652, 1.0472573363031301, 1.1155248837890737, 0.7143003777192365, 0.6983941814553504, 0.8149360103575031, 0.8351612808720451, 1.0587217691660442, 1.04595810335134, 1.1009681557345394, 0.7107458555979614, 0.6836985866082618, 0.8102545804650074]"
N/A,parking,N/A,N/A,surface,Unnamed,"[[-73.9959731, 40.7548326], [-73.9960053, 40.7547874], [-73.9960939, 40.7546633], [-73.9961243, 40.7546207], [-73.9963118, 40.7543616], [-73.995912, 40.7541897], [-73.9955746, 40.7546601], [-73.9959731, 40.7548326]]",Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),68,LineString,"[-73.9959432, 40.75451115]","[-1.291472841958709, 0.7113004046082406]",10.684056122907787,"(-73.9959432, 40.75451115)","[0.5758341706928436, 0.5758341706928436, 0.5751283281738924, 0.9003341884762356, 0.9219871754551917, 0.8918490172571618, 0.9192400873049903, 0.26049323606943264, 0.7191179463196401, 0.2664651524558921, 0.7185257593907802, 0.18655457864520816, 0.2132722802811169, 0.19117662752025186, 0.21471008727087382, 0.18955831184433572, 0.19128626713992683, 0.8962951761368342, 0.8889209372140224]"
N/A,parking,N/A,N/A,surface,Unnamed,"[[-73.9959718, 40.7535583], [-73.9958856, 40.7536777], [-73.9952626, 40.7534156], [-73.9951557, 40.7533707], [-73.9951723, 40.7533472], [-73.995327, 40.7531346], [-73.9957426, 40.7533085], [-73.9956566, 40.7534252], [-73.9957964, 40.7534842], [-73.9959718, 40.7535583]]",Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),68,LineString,"[-73.99556375, 40.75340615]","[-1.2914662193068622, 0.7112811187200062]",3.4560556292842994,"(-73.99556375, 40.75340615)","[0.5758341706928436, 0.5758341706928436, 0.5751283281738924, 0.9003341884762356, 0.9219871754551917, 0.8918490172571618, 0.9192400873049903, 0.26049323606943264, 0.7191179463196401, 0.2664651524558921, 0.7185257593907802, 0.18655457864520816, 0.2132722802811169, 0.19117662752025186, 0.21471008727087382, 0.18955831184433572, 0.19128626713992683, 0.8962951761368342, 0.8889209372140224]"
