operator,amenity,layer,opening_hours,parking_type,Parking Station Name,Coordinates,Rate Zone,Zone Info,Location ID,Geometry Type,CenterPoint,CenterPoint_rad,Distance to Nearest,CenterPoint_tuple,Distance to Others
N/A,parking,-1.0,N/A,underground,Hippodrome Parking,"[-73.9826925, 40.755226]",Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),161,Point,"[-73.9826925, 40.755226]","[-1.291241573615515, 0.7113128810943985]",42.45594634790844,"(-73.9826925, 40.755226)","[0.9017855121993501, 0.04245594634790844, 0.04245594634790844, 0.49119093879537606, 0.1545709040187989, 0.15032392408662199]"
Quik Park,parking,-1.0,N/A,underground,Unnamed,"[-73.9719427, 40.7954595]",Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),238,Point,"[-73.9719427, 40.7954595]","[-1.291053954211584, 0.7120150881389996]",128.65898920852436,"(-73.9719427, 40.7954595)","[0.5816341950655698, 0.41320975230440604, 0.41320975230440604, 0.3876144054646668, 0.1832956293686829, 0.2867325719275369, 0.28893160686941594, 0.26457961602410146, 0.25994556869973706]"
N/A,parking,-1.0,24/7,underground,Unnamed,"[-73.9736163, 40.7956415]",96th St to 110th St,Zone M3 - (All Vehicles $2.50 1st Hour / $4.00 2nd Hour),238,Point,"[-73.9736163, 40.7956415]","[-1.2910831640419456, 0.7120182646382384]",183.2956293686829,"(-73.9736163, 40.7956415)","[0.5816341950655698, 0.41320975230440604, 0.41320975230440604, 0.3876144054646668, 0.1832956293686829, 0.2867325719275369, 0.28893160686941594, 0.26457961602410146, 0.25994556869973706]"
SP+,parking,-1.0,N/A,underground,SP+,"[-73.9869059, 40.7477252]",Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),164,Point,"[-73.9869059, 40.7477252]","[-1.2913151113182184, 0.7111819674378649]",73.91084946154317,"(-73.9869059, 40.7477252)","[0.07391084946154317, 0.3262513467095463, 0.3262513467095463, 0.1321822607256353, 0.13585582875853944, 0.07972010214309733, 0.07993787157329207, 0.3589018777777605, 0.3634552417351211]"
Quik Park,parking,-1.0,N/A,underground,Unnamed,"[-73.9682752, 40.7963646]",96th St to 110th St,Zone M3 - (All Vehicles $2.50 1st Hour / $4.00 2nd Hour),151,Point,"[-73.9682752, 40.7963646]","[-1.2909899442612671, 0.7120308851140594]",62.21201511918784,"(-73.9682752, 40.7963646)","[0.12944750138706962, 0.4311353725503314, 0.12060401185570901, 0.12928702985545873, 0.3467390995543039, 0.25026148605705856, 0.05572221789510235, 0.07311179171613282, 0.3343027059285015, 0.2582891441366458, 0.056983943004028106, 0.07409877030736929, 0.21778669833508274, 0.21893035050263823, 0.11614092059694008, 0.13830589490421988, 0.07067272851051198, 0.3547416588970393, 0.3934320728021584, 0.00570926810531774, 0.031303942989651466, 0.21978223352847684, 0.21590798917339374, 0.11125276385489694, 0.12935807870883748, 0.06903343261309626, 0.34572289212970386, 0.3899095007745052, 0.3899095007745052, 0.36521453875970594]"
Edison ParkFast,parking,N/A,N/A,multi-storey,Edison Parkfast #136,"[-73.9291288, 40.8667239]",Outerborough,Zone 3 - (All Vehicles $1.25 1st Hour / $2.00 2nd Hour),243,Point,"[-73.9291288, 40.8667239]","[-1.2903067106909645, 0.7132588865584578]",201.7437318614597,"(-73.9291288, 40.8667239)","[0.20315571204003186, 0.20315571204003186, 0.4031552783135169, 0.4295254734438677, 0.20174373186145972, 0.40615142416342037, 0.4294013710705494, 0.3479777376511875, 0.29770981947769276, 0.3518334317117034, 0.3004680362162144, 0.30725839138991123, 0.31426704879282935, 0.8512853590541323, 0.8760624603426256, 0.27884921695492176, 0.2098837685059143, 0.35031005496863016, 0.8525216672424665, 0.8903602894750311, 0.29038572696282666, 0.2099581908958151, 0.35016076049582423]"
N/A,parking,-1.0,N/A,underground,Icon Parking,"[-73.9924295, 40.7420457]",Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),234,Point,"[-73.9924295, 40.7420457]","[-1.2914115163247817, 0.7110828414629978]",42.85756221121384,"(-73.9924295, 40.7420457)","[0.27343546514414274, 0.27343546514414274, 0.23120991557196208, 0.20636708625020672, 0.11880700527448587, 0.16445421855781267, 0.20756697092141085, 0.11901692060075224, 0.16118780327710852, 0.5048210857177555, 0.5041776250314546, 0.04783405713488462, 0.04285756221121384, 0.16803608928342517, 0.4329565533260956, 0.17011656672405828, 0.42978864829539976, 0.23231597409586674]"
N/A,parking,-1.0,N/A,underground,Unnamed,"[-73.986507, 40.7614089]",Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),230,Point,"[-73.986507, 40.7614089]","[-1.2913081491998324, 0.71142079305672]",33.93840847359927,"(-73.986507, 40.7614089)","[0.22432481659132872, 0.8191394633297788, 0.7747368059660377, 0.11728102537261241, 0.3596922632401681, 0.6128738999461729, 0.08420031125023968, 0.21545315105984905, 0.08269026657017672, 0.21169463427047314, 0.21169463427047314, 0.032548678703409495, 0.16580785157806247, 0.21330403213585897, 0.03229858783387764, 0.1646150925706646]"
N/A,parking,N/A,N/A,garage,Icon,"[-73.9810007, 40.7624998]",Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),230,Point,"[-73.9810007, 40.7624998]","[-1.2912120461352297, 0.7114398328535301]",49.34757399068932,"(-73.9810007, 40.7624998)","[0.22432481659132872, 0.8191394633297788, 0.7747368059660377, 0.11728102537261241, 0.3596922632401681, 0.6128738999461729, 0.08420031125023968, 0.21545315105984905, 0.08269026657017672, 0.21169463427047314, 0.21169463427047314, 0.032548678703409495, 0.16580785157806247, 0.21330403213585897, 0.03229858783387764, 0.1646150925706646]"
N/A,parking,N/A,N/A,N/A,Champion,"[-73.9814298, 40.7629102]",Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),230,Point,"[-73.9814298, 40.7629102]","[-1.29121953534305, 0.7114469956847803]",49.34757399068932,"(-73.9814298, 40.7629102)","[0.22432481659132872, 0.8191394633297788, 0.7747368059660377, 0.11728102537261241, 0.3596922632401681, 0.6128738999461729, 0.08420031125023968, 0.21545315105984905, 0.08269026657017672, 0.21169463427047314, 0.21169463427047314, 0.032548678703409495, 0.16580785157806247, 0.21330403213585897, 0.03229858783387764, 0.1646150925706646]"
