operator,amenity,layer,opening_hours,Geometry Type,Parking Station Name,Coordinates,Location ID,parking_type,Rate Zone,Zone Info,CenterPoint,CenterPoint_rad
Icon Parking Systems,parking,-1.0,N/A,Point,Unnamed,"[-74.0030094, 40.7401692]",68,underground,N/A,N/A,"[-74.0030094, 40.7401692]","[-1.2915961704143133, 0.7110500903595842]"
N/A,parking,N/A,N/A,Point,Unnamed,"[-73.958389, 40.7599463]",140,N/A,N/A,N/A,"[-73.958389, 40.7599463]","[-1.2908173975207564, 0.7113952658710805]"
N/A,parking,-1.0,N/A,Point,Unnamed,"[-73.9873443, 40.7596857]",230,underground,N/A,N/A,"[-73.9873443, 40.7596857]","[-1.2913227628416593, 0.7113907175430497]"
N/A,parking,N/A,N/A,Point,Unnamed,"[-73.9586469, 40.7800235]",236,garage,N/A,N/A,"[-73.9586469, 40.7800235]","[-1.2908218987248974, 0.7117456791156618]"
N/A,parking,N/A,N/A,Point,Unnamed,"[-73.9901983, 40.7457943]",234,N/A,N/A,N/A,"[-73.9901983, 40.7457943]","[-1.2913725745385112, 0.7111482668753382]"
N/A,parking,N/A,N/A,Point,Unnamed,"[-73.9591769, 40.7606227]",140,N/A,N/A,N/A,"[-73.9591769, 40.7606227]","[-1.2908311489699331, 0.7114070712781408]"
N/A,parking,N/A,N/A,Point,Unnamed,"[-73.9504499, 40.785132]",236,N/A,N/A,N/A,"[-73.9504499, 40.785132]","[-1.2906788340861113, 0.7118348392604998]"
N/A,parking,N/A,N/A,Point,Vincent 15 Parking LLC,"[-73.9968701, 40.7383801]",90,garage,N/A,N/A,"[-73.9968701, 40.7383801]","[-1.2914890194155455, 0.7110188646739368]"
N/A,parking,-1.0,N/A,Point,Allie II parking,"[-73.9861645, 40.7699259]",142,underground,N/A,N/A,"[-73.9861645, 40.7699259]","[-1.2913021714471442, 0.7115694427491124]"
N/A,parking,N/A,N/A,Point,24 Hour Parking,"[-73.9837732, 40.7678612]",48,multi-storey,N/A,N/A,"[-73.9837732, 40.7678612]","[-1.2912604353887414, 0.7115334069360465]"
"Crown Parking, LLC",parking,-1.0,N/A,Point,Quik Park,"[-73.9851191, 40.7606886]",230,underground,N/A,N/A,"[-73.9851191, 40.7606886]","[-1.2912839257751438, 0.711408221450118]"
N/A,parking,N/A,N/A,Point,Unnamed,"[-73.9706979, 40.7536149]",233,N/A,N/A,N/A,"[-73.9706979, 40.7536149]","[-1.2910322283530553, 0.7112847620948197]"
N/A,parking,N/A,N/A,Point,Unnamed,"[-73.9774687, 40.7452795]",137,multi-storey,N/A,N/A,"[-73.9774687, 40.7452795]","[-1.2911504011060493, 0.7111392819203489]"
N/A,parking,-1.0,N/A,Point,Unnamed,"[-73.97884, 40.7440251]",137,underground,N/A,N/A,"[-73.97884, 40.7440251]","[-1.291174334806082, 0.7111173885102119]"
