operator,amenity,layer,opening_hours,Geometry Type,Parking Station Name,Coordinates,Location ID,parking_type,Rate Zone,Zone Info,CenterPoint,CenterPoint_rad
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9894289, 40.7605188], [-73.9890433, 40.7603614], [-73.988953, 40.7604853], [-73.9888968, 40.7605674], [-73.9892804, 40.7607292], [-73.9893365, 40.7606456], [-73.9894289, 40.7605188]]",48,surface,N/A,N/A,"[-73.98916285, 40.760545300000004]","[-1.2913545025267714, 0.7114057203933]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.987298, 40.7643332], [-73.987472, 40.7640946], [-73.987326, 40.7640376], [-73.9874924, 40.763803], [-73.9874703, 40.763793], [-73.9874347, 40.7637783], [-73.9873473, 40.7638982], [-73.9872626, 40.7640143], [-73.9872281, 40.7639994], [-73.9870697, 40.7642167], [-73.9870581, 40.7642321], [-73.9872223, 40.7643013], [-73.987298, 40.7643332]]",48,surface,N/A,N/A,"[-73.98727525, 40.76405575]","[-1.2913215576918107, 0.7114669893040264]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9876095, 40.7630207], [-73.987306, 40.7628918], [-73.9872056, 40.7630286], [-73.9871397, 40.7631184], [-73.9874442, 40.7632458], [-73.9876095, 40.7630207]]",48,surface,N/A,N/A,"[-73.98737460000001, 40.7630688]","[-1.2913232916764228, 0.7114497637769739]"
Metropolitan Transportation Authority,parking,N/A,N/A,LineString,Unnamed,"[[-73.98702, 40.7658533], [-73.9870843, 40.7657651], [-73.9871352, 40.7656954], [-73.9872551, 40.765531], [-73.9872404, 40.7655144], [-73.987169, 40.7654612], [-73.9870348, 40.7653986], [-73.986788, 40.7652961], [-73.9867826, 40.7653039], [-73.9865335, 40.7656465], [-73.98702, 40.7658533]]",48,surface,N/A,N/A,"[-73.98689429999999, 40.7655747]","[-1.291314908860025, 0.7114934999826997]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9904289, 40.7596104], [-73.9903488, 40.7595754], [-73.99027, 40.7595422], [-73.9902136, 40.7596211], [-73.9901086, 40.7597653], [-73.9900938, 40.7597851], [-73.9902528, 40.7598505], [-73.9903277, 40.759748], [-73.9903468, 40.7597218], [-73.990403, 40.7596448], [-73.9904289, 40.7596104]]",48,surface,N/A,N/A,"[-73.99026135, 40.75969635]","[-1.2913736749686044, 0.7113909034206151]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9904549, 40.7583004], [-73.9904874, 40.7582554], [-73.9905777, 40.7581304], [-73.9906088, 40.7580872], [-73.9906565, 40.7580223], [-73.9906488, 40.7580192], [-73.9905901, 40.7579947], [-73.9905702, 40.7579864], [-73.9905114, 40.7579618], [-73.9905789, 40.7578684], [-73.9905737, 40.7578568], [-73.9905809, 40.7578468], [-73.9905975, 40.7578432], [-73.9906222, 40.7578091], [-73.9906167, 40.7577972], [-73.99065, 40.7577511], [-73.9907287, 40.757784], [-73.9901775, 40.7575493], [-73.990002, 40.7577923], [-73.9900795, 40.7578275], [-73.9902891, 40.757915], [-73.9901152, 40.7581557], [-73.9904549, 40.7583004]]",48,surface,N/A,N/A,"[-73.99036535, 40.75792485]","[-1.2913754901110266, 0.711359984912916]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9895783, 40.7589373], [-73.9894234, 40.7588725], [-73.989261, 40.7588045], [-73.989088, 40.7590421], [-73.9892111, 40.7590963], [-73.9893672, 40.7591635], [-73.9893991, 40.759177], [-73.9894761, 40.7590777], [-73.9895783, 40.7589373]]",48,surface,N/A,N/A,"[-73.98933315, 40.758990749999995]","[-1.2913574748224874, 0.7113785883774129]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9959731, 40.7548326], [-73.9960053, 40.7547874], [-73.9960939, 40.7546633], [-73.9961243, 40.7546207], [-73.9963118, 40.7543616], [-73.995912, 40.7541897], [-73.9955746, 40.7546601], [-73.9959731, 40.7548326]]",68,surface,N/A,N/A,"[-73.9959432, 40.75451115]","[-1.291472841958709, 0.7113004046082406]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9959718, 40.7535583], [-73.9958856, 40.7536777], [-73.9952626, 40.7534156], [-73.9951557, 40.7533707], [-73.9951723, 40.7533472], [-73.995327, 40.7531346], [-73.9957426, 40.7533085], [-73.9956566, 40.7534252], [-73.9957964, 40.7534842], [-73.9959718, 40.7535583]]",68,surface,N/A,N/A,"[-73.99556375, 40.75340615]","[-1.2914662193068622, 0.7112811187200062]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-74.0095902, 40.7378819], [-74.0095728, 40.7380851], [-74.0090438, 40.7380773], [-74.0090611, 40.7378807], [-74.0093644, 40.7378852], [-74.0094107, 40.7378845], [-74.0095591, 40.7378824], [-74.0095902, 40.7378819]]",158,surface,N/A,N/A,"[-74.00931700000001, 40.7379829]","[-1.2917062588022123, 0.7110119322261479]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-74.0063776, 40.7457898], [-74.0061642, 40.7456974], [-74.0059177, 40.745594], [-74.0058294, 40.7457156], [-74.005754, 40.7458194], [-74.0062152, 40.7460122], [-74.0063776, 40.7457898]]",246,multi-storey,N/A,N/A,"[-74.00606579999999, 40.7458031]","[-1.291649514657571, 0.7111484204643124]"
Metropolitan Transportation Authority,parking,N/A,N/A,MultiPolygon,Unnamed,"[[[[-73.9872551, 40.765531], [-73.9872404, 40.7655144], [-73.987169, 40.7654612], [-73.9870348, 40.7653986], [-73.986788, 40.7652961], [-73.9867826, 40.7653039], [-73.9865335, 40.7656465], [-73.98702, 40.7658533], [-73.9870843, 40.7657651], [-73.9871352, 40.7656954], [-73.9872551, 40.765531]]]]",48,surface,N/A,N/A,"[-73.98702709090908, 40.765545136363635]","[-1.2913172264986055, 0.7114929839999062]"
N/A,parking,N/A,N/A,MultiPolygon,Unnamed,"[[[[-73.9907287, 40.757784], [-73.9901775, 40.7575493], [-73.990002, 40.7577923], [-73.9900795, 40.7578275], [-73.9902891, 40.757915], [-73.9901152, 40.7581557], [-73.9904549, 40.7583004], [-73.9904874, 40.7582554], [-73.9905777, 40.7581304], [-73.9906088, 40.7580872], [-73.9906565, 40.7580223], [-73.9906488, 40.7580192], [-73.9905901, 40.7579947], [-73.9905702, 40.7579864], [-73.9905114, 40.7579618], [-73.9905789, 40.7578684], [-73.9905737, 40.7578568], [-73.9905809, 40.7578468], [-73.9905975, 40.7578432], [-73.9906222, 40.7578091], [-73.9906167, 40.7577972], [-73.99065, 40.7577511], [-73.9907287, 40.757784]]]]",48,surface,N/A,N/A,"[-73.99049766956522, 40.757927747826095]","[-1.2913777995231044, 0.7113600354895224]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9985927, 40.7631305], [-73.9986309, 40.7630781], [-73.9988117, 40.7628301], [-73.9979217, 40.7624524], [-73.9978632, 40.7625343], [-73.9977967, 40.7625061], [-73.997732, 40.7624785], [-73.997624, 40.7626231], [-73.9976009, 40.7626131], [-73.9975902, 40.7626274], [-73.9972972, 40.7625009], [-73.9972564, 40.7625626], [-73.9975702, 40.7626982], [-73.9974374, 40.7628759], [-73.9975329, 40.7629166], [-73.9984603, 40.7633121], [-73.9985927, 40.7631305]]",50,surface,N/A,N/A,"[-73.99803405, 40.762882250000004]","[-1.2915093341753743, 0.7114465078652544]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9921234, 40.766336], [-73.9921053, 40.7663574], [-73.9918719, 40.7662613], [-73.9918932, 40.766233], [-73.9919732, 40.7661227], [-73.9920454, 40.7660232], [-73.9919986, 40.7660035], [-73.9920439, 40.7659405], [-73.9921422, 40.7658055], [-73.9921508, 40.7657937], [-73.9921572, 40.7657843], [-73.9924168, 40.7658951], [-73.9923155, 40.7660354], [-73.9922041, 40.7661865], [-73.9922226, 40.7661985], [-73.9921234, 40.766336]]",50,surface,N/A,N/A,"[-73.99214435, 40.76607085]","[-1.2914065395184195, 0.7115021594337834]"
Icon Parking,parking,N/A,N/A,LineString,Unnamed,"[[-74.0055272, 40.7080442], [-74.0052602, 40.7081496], [-74.0051675, 40.7079504], [-74.005104, 40.7079725], [-74.0050979, 40.707974], [-74.0050786, 40.7079302], [-74.0050078, 40.7079483], [-74.0049976, 40.7079403], [-74.0049284, 40.7078109], [-74.0049166, 40.7077886], [-74.0049063, 40.7077679], [-74.0048927, 40.7077449], [-74.0048626, 40.7076858], [-74.00528, 40.7075437], [-74.00529, 40.7075666], [-74.0053053, 40.7076017], [-74.0053173, 40.7076286], [-74.0053232, 40.7076419], [-74.0053508, 40.7076984], [-74.0053764, 40.7077508], [-74.0054216, 40.7077995], [-74.005473, 40.7078548], [-74.0054337, 40.7078778], [-74.0054695, 40.7079395], [-74.0054878, 40.7079713], [-74.005494, 40.7079831], [-74.0055073, 40.708008], [-74.0055272, 40.7080442]]",87,surface,N/A,N/A,"[-74.00519489999999, 40.70784665]","[-1.2916343145851157, 0.7104859554394437]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9878107, 40.7456087], [-73.9875302, 40.7454911], [-73.9875452, 40.7454711], [-73.9877014, 40.7452595], [-73.9878742, 40.7450213], [-73.9881144, 40.7451252], [-73.9879659, 40.7453258], [-73.9880035, 40.7453419], [-73.9879783, 40.7453789], [-73.9878107, 40.7456087]]",164,surface,N/A,N/A,"[-73.9878223, 40.745315]","[-1.291331105515484, 0.7111399015122333]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9947398, 40.7444894], [-73.9945797, 40.7444219], [-73.9946655, 40.7443042], [-73.994657, 40.7443006], [-73.9947354, 40.7441929], [-73.9947412, 40.7441837], [-73.9947555, 40.7441897], [-73.9948396, 40.7442252], [-73.994818, 40.7442548], [-73.9948889, 40.7442847], [-73.9948438, 40.744346], [-73.9947818, 40.7444314], [-73.9947398, 40.7444894]]",90,surface,N/A,N/A,"[-73.9947343, 40.74433655]","[-1.2914517426733816, 0.7111228243381672]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9911522, 40.7423662], [-73.991019, 40.7423029], [-73.990873, 40.7425038], [-73.9908368, 40.7424886], [-73.9908037, 40.7425333], [-73.9907712, 40.742578], [-73.990831, 40.7426031], [-73.9906984, 40.7427857], [-73.9908222, 40.742841], [-73.9909623, 40.7426482], [-73.9909508, 40.7426434], [-73.9911522, 40.7423662]]",234,surface,N/A,N/A,"[-73.9909253, 40.74257195]","[-1.2913852630821732, 0.7110920262581865]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9886226, 40.7393531], [-73.9887671, 40.7391543], [-73.9886033, 40.739091], [-73.9884619, 40.7392856], [-73.9886226, 40.7393531]]",234,surface,N/A,N/A,"[-73.98861450000001, 40.73922205]","[-1.2913449320138182, 0.711033559473574]"
N/A,parking,N/A,N/A,MultiPolygon,Unnamed,"[[[[-73.9988117, 40.7628301], [-73.9979217, 40.7624524], [-73.9978632, 40.7625343], [-73.9977967, 40.7625061], [-73.997732, 40.7624785], [-73.997624, 40.7626231], [-73.9976009, 40.7626131], [-73.9975902, 40.7626274], [-73.9972972, 40.7625009], [-73.9972564, 40.7625626], [-73.9975702, 40.7626982], [-73.9974374, 40.7628759], [-73.9975329, 40.7629166], [-73.9984603, 40.7633121], [-73.9985927, 40.7631305], [-73.9986309, 40.7630781], [-73.9988117, 40.7628301]]]]",50,surface,N/A,N/A,"[-73.99791353529412, 40.762739411764706]","[-1.2915072307969595, 0.7114440148677507]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9864905, 40.7148962], [-73.9860344, 40.715148], [-73.9858312, 40.7149427], [-73.9858136, 40.7149259], [-73.9857806, 40.7146694], [-73.9857084, 40.7146733], [-73.985696, 40.7145443], [-73.9863071, 40.7144976], [-73.9864411, 40.7144874], [-73.9864827, 40.7147652], [-73.9864905, 40.7148962]]",232,surface,N/A,N/A,"[-73.98609325000001, 40.7148177]","[-1.2913009279000522, 0.7106076232142648]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-74.0054434, 40.743], [-74.0049349, 40.7427903], [-74.005029, 40.7426637], [-74.0050628, 40.7426781], [-74.0055335, 40.7428785], [-74.0054984, 40.7429258], [-74.0054434, 40.743]]",68,surface,N/A,N/A,"[-74.00523419999999, 40.74283185]","[-1.2916350004995116, 0.7110965623689125]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9986867, 40.7093488], [-73.9985878, 40.7089992], [-73.9978173, 40.7091257], [-73.9978652, 40.7093139], [-73.9973724, 40.7093873], [-73.9974194, 40.7095473], [-73.9986867, 40.7093488]]",45,surface,N/A,N/A,"[-73.99802955, 40.709273249999995]","[-1.2915092556355579, 0.7105108543065526]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9984134, 40.7553184], [-73.9983288, 40.7552829], [-73.9981671, 40.7552152], [-73.9981055, 40.7551893], [-73.9980893, 40.7551824], [-73.9980798, 40.7551953], [-73.9980695, 40.7552089], [-73.9980336, 40.7552575], [-73.9980254, 40.7552754], [-73.9980073, 40.7552999], [-73.9979437, 40.7553863], [-73.9979168, 40.7554237], [-73.9978278, 40.7555477], [-73.9977922, 40.7555973], [-73.9981089, 40.7557265], [-73.9984134, 40.7553184]]",68,surface,N/A,N/A,"[-73.9981028, 40.75545445]","[-1.291510534089235, 0.7113168682990747]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9524876, 40.8301857], [-73.9522338, 40.8305494], [-73.9516439, 40.8303138], [-73.951702, 40.8302305], [-73.9518978, 40.82995], [-73.9524876, 40.8301857]]",116,surface,N/A,N/A,"[-73.95206575, 40.830249699999996]","[-1.2907070359888297, 0.7126222916764269]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9516142, 40.8310477], [-73.9513958, 40.8313747], [-73.9516153, 40.8314586], [-73.9518338, 40.8311317], [-73.9516142, 40.8310477]]",116,N/A,N/A,N/A,"[-73.9516148, 40.831253149999995]","[-1.290699165426568, 0.712639805182806]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9872254, 40.7237873], [-73.9861034, 40.7233158], [-73.9859692, 40.7234993], [-73.9863643, 40.7236653], [-73.9863274, 40.7237158], [-73.9870542, 40.7240213], [-73.9872254, 40.7237873]]",79,surface,N/A,N/A,"[-73.9865973, 40.72366855]","[-1.2913097252321468, 0.710762099688365]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-74.0086546, 40.7278872], [-74.0082972, 40.7278541], [-74.0082745, 40.7279946], [-74.0082714, 40.7280136], [-74.008263, 40.7280648], [-74.0086199, 40.728098], [-74.0086546, 40.7278872]]",125,surface,N/A,N/A,"[-74.0084588, 40.72797605]","[-1.2916912803865717, 0.7108372797458947]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-74.0069199, 40.7252132], [-74.0072064, 40.7252425], [-74.0071839, 40.7253686], [-74.0072825, 40.7253786], [-74.0072706, 40.7254452], [-74.0071382, 40.7254317], [-74.0071285, 40.7254859], [-74.0070837, 40.7254813], [-74.0070871, 40.7254624], [-74.0069797, 40.7254515], [-74.0069998, 40.7253387], [-74.0068994, 40.7253284], [-74.0069199, 40.7252132]]",125,surface,N/A,N/A,"[-74.00709094999999, 40.725349550000004]","[-1.291667406900398, 0.7107914386730911]"
Park Fast,parking,N/A,24/7,LineString,Unnamed,"[[-74.0069199, 40.7252132], [-74.0068994, 40.7253284], [-74.0069998, 40.7253387], [-74.0069797, 40.7254515], [-74.0069737, 40.7254862], [-74.0068188, 40.7254709], [-74.0067838, 40.7256742], [-74.0065116, 40.7256474], [-74.0065542, 40.7253993], [-74.0065326, 40.7253972], [-74.0065235, 40.7253889], [-74.0065613, 40.7251765], [-74.0069199, 40.7252132]]",125,garage_boxes,N/A,N/A,"[-74.0067557, 40.72542535]","[-1.291661555684081, 0.7107927616326641]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9896462, 40.7224941], [-73.9891996, 40.7223529], [-73.98915, 40.7224515], [-73.989319, 40.7225033], [-73.9892439, 40.7226314], [-73.9895175, 40.7227157], [-73.9896462, 40.7224941]]",148,N/A,N/A,N/A,"[-73.98939809999999, 40.7225343]","[-1.2913586084138364, 0.7107423032913243]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9899681, 40.7222543], [-73.9902175, 40.7223336], [-73.990349, 40.7220917], [-73.9900848, 40.7220124], [-73.9899681, 40.7222543]]",148,N/A,N/A,N/A,"[-73.99015854999999, 40.722173]","[-1.2913718807701333, 0.7107359974167368]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9866516, 40.7243304], [-73.9868182, 40.7244009], [-73.9864835, 40.724855], [-73.9864011, 40.7248201], [-73.9863169, 40.7247844], [-73.9866516, 40.7243304]]",79,surface,N/A,N/A,"[-73.98656755, 40.7245927]","[-1.2913092059966944, 0.7107782291486474]"
N/A,parking,N/A,N/A,LineString,Village View Parking Area 3,"[[-73.985041, 40.7251842], [-73.9846822, 40.7256753], [-73.9844772, 40.7255913], [-73.9847886, 40.7251605], [-73.9844586, 40.7250235], [-73.9845284, 40.7249271], [-73.9848206, 40.7250484], [-73.9847955, 40.7250832], [-73.985041, 40.7251842]]",79,surface,N/A,N/A,"[-73.9847498, 40.725301200000004]","[-1.2912774802742162, 0.7107905948063978]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9995798, 40.7183117], [-73.9990715, 40.7181104], [-73.999046, 40.7181602], [-73.999207, 40.7182182], [-73.9990541, 40.7184753], [-73.9993679, 40.7185841], [-73.9995798, 40.7183117]]",144,N/A,N/A,N/A,"[-73.9993129, 40.71834725]","[-1.2915316543185136, 0.7106692254828787]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-74.0057328, 40.7249336], [-74.0053438, 40.724899], [-74.0053814, 40.7246724], [-74.0055544, 40.7246876], [-74.0055692, 40.724589], [-74.0057878, 40.7246083], [-74.0057328, 40.7249336]]",125,N/A,N/A,N/A,"[-74.0055658, 40.7247613]","[-1.2916407880113114, 0.7107811717737661]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9462629, 40.8155885], [-73.9461036, 40.8158034], [-73.9459692, 40.8157463], [-73.9461285, 40.8155314], [-73.9462629, 40.8155885]]",42,N/A,N/A,N/A,"[-73.94611605, 40.815667399999995]","[-1.290603194134324, 0.7123677825289133]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9467348, 40.8159747], [-73.9464988, 40.8158763], [-73.9464344, 40.8159565], [-73.9462132, 40.8158682], [-73.9463741, 40.8156428], [-73.9468421, 40.8158387], [-73.9467348, 40.8159747]]",42,N/A,N/A,N/A,"[-73.94652765000001, 40.81580875]","[-1.2906103779095253, 0.7123702495518112]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9950085, 40.7098692], [-73.9949603, 40.7096802], [-73.9948959, 40.7096903], [-73.9948771, 40.7096283], [-73.9944587, 40.7096964], [-73.994452, 40.7096751], [-73.9942334, 40.7097137], [-73.9942683, 40.7099841], [-73.9950085, 40.7098692]]",45,N/A,N/A,N/A,"[-73.99462095, 40.7098062]","[-1.2914497643426743, 0.7105201560388013]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9653493, 40.7837265], [-73.9654298, 40.7836117], [-73.9653534, 40.7835823], [-73.9653842, 40.7835366], [-73.9652058, 40.7834604], [-73.9651576, 40.7835183], [-73.9649551, 40.7834594], [-73.9649162, 40.7835132], [-73.9647217, 40.783432], [-73.96477, 40.7833559], [-73.9646506, 40.7832909], [-73.9645165, 40.7834777], [-73.9647311, 40.7835539], [-73.9651656, 40.7836788], [-73.9653493, 40.7837265]]",43,surface,N/A,N/A,"[-73.96497314999999, 40.7835087]","[-1.2909323126167016, 0.7118065073307523]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9863495, 40.7769016], [-73.9857509, 40.7766498], [-73.9853821, 40.7767865], [-73.9859014, 40.7769924], [-73.9863495, 40.7769016]]",143,N/A,N/A,N/A,"[-73.9858658, 40.7768211]","[-1.2912969581486684, 0.7116897866916959]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9860403, 40.7771791], [-73.9854406, 40.7769269], [-73.9852961, 40.7771239], [-73.9858248, 40.7773462], [-73.9858615, 40.7772961], [-73.9858342, 40.777222], [-73.9858512, 40.7772035], [-73.9860403, 40.7771791]]",143,N/A,N/A,N/A,"[-73.98566819999999, 40.777136549999994]","[-1.2912935093780664, 0.7116952923328212]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9849856, 40.7766378], [-73.9850578, 40.7766943], [-73.985068, 40.7767841], [-73.9847364, 40.7772344], [-73.9844498, 40.7771134], [-73.9847825, 40.7766618], [-73.9848777, 40.7766248], [-73.9849856, 40.7766378]]",143,N/A,N/A,N/A,"[-73.9847589, 40.7769296]","[-1.2912776390991783, 0.7116916803739344]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.983988, 40.7766431], [-73.9840666, 40.7766751], [-73.9841189, 40.7766964], [-73.9842162, 40.776736], [-73.9840652, 40.7769495], [-73.9838317, 40.7768528], [-73.983988, 40.7766431]]",143,surface,N/A,N/A,"[-73.98402395, 40.7767963]","[-1.2912648118018406, 0.7116893538500415]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9834767, 40.7772656], [-73.9837164, 40.7769394], [-73.9835336, 40.7768624], [-73.9832939, 40.7771885], [-73.9834767, 40.7772656]]",143,surface,N/A,N/A,"[-73.98350515000001, 40.777063999999996]","[-1.2912557570336816, 0.7116940260964489]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9861185, 40.7765012], [-73.9861457, 40.7764631], [-73.9863023, 40.7762438], [-73.9861685, 40.7761878], [-73.986122, 40.7762515], [-73.9861898, 40.7762798], [-73.9860535, 40.7764717], [-73.9861185, 40.7765012]]",143,N/A,N/A,N/A,"[-73.9861779, 40.7763445]","[-1.291302405321264, 0.7116814684524809]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9852883, 40.7764644], [-73.9855824, 40.7760578], [-73.9853049, 40.7759427], [-73.9850067, 40.7763552], [-73.9850093, 40.776425], [-73.98505, 40.7764865], [-73.9851341, 40.7765171], [-73.9852181, 40.7765064], [-73.9852883, 40.7764644]]",143,surface,N/A,N/A,"[-73.98529454999999, 40.776229900000004]","[-1.2912869879553164, 0.7116794683051583]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9868712, 40.7760534], [-73.9866629, 40.7763342], [-73.9864891, 40.7762601], [-73.9866974, 40.7759794], [-73.9868712, 40.7760534]]",143,surface,N/A,N/A,"[-73.98668015, 40.776156799999995]","[-1.291311171237432, 0.7116781924694748]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9386029, 40.8110556], [-73.9382689, 40.8109146], [-73.9383784, 40.8107659], [-73.9385151, 40.8108236], [-73.9387125, 40.8109069], [-73.9386029, 40.8110556]]",74,surface,N/A,N/A,"[-73.93849069999999, 40.810910750000005]","[-1.2904701066702067, 0.7122847633250485]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9393361, 40.8116628], [-73.9396328, 40.8112683], [-73.939442, 40.8111861], [-73.9391453, 40.8115807], [-73.9393361, 40.8116628]]",42,surface,N/A,N/A,"[-73.93938905, 40.811424450000004]","[-1.2904857858355423, 0.712293729081416]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9201058, 40.8625645], [-73.919922, 40.8628196], [-73.9196881, 40.8627233], [-73.9198719, 40.8624681], [-73.9201058, 40.8625645]]",127,N/A,N/A,N/A,"[-73.91989695000001, 40.86264385]","[-1.2901455845124143, 0.7131876762523118]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9175682, 40.8671149], [-73.917281, 40.8670156], [-73.9173283, 40.8669427], [-73.9175226, 40.8668725], [-73.9175769, 40.866956], [-73.9176312, 40.8669388], [-73.9176663, 40.8669957], [-73.9176592, 40.8670222], [-73.9175682, 40.8671149]]",127,N/A,N/A,N/A,"[-73.91747365, 40.866993699999995]","[-1.2901032899486506, 0.7132635954567796]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9171482, 40.8677734], [-73.9173437, 40.8678548], [-73.9176875, 40.8673827], [-73.9174921, 40.8673013], [-73.9171482, 40.8677734]]",127,N/A,N/A,N/A,"[-73.91741784999999, 40.867578050000006]","[-1.2901023160549279, 0.7132737942882639]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-74.0071394, 40.7257115], [-74.0071805, 40.7254853], [-74.00745, 40.7255135], [-74.0074139, 40.7257117], [-74.0074092, 40.7257393], [-74.0073489, 40.7257333], [-74.0071394, 40.7257115]]",125,surface,N/A,N/A,"[-74.0072947, 40.7256123]","[-1.291670963008749, 0.7107960245257007]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9709789, 40.7805842], [-73.9710183, 40.7806089], [-73.9711747, 40.7806023], [-73.9711733, 40.7805842], [-73.9712699, 40.7805802], [-73.971271, 40.7805947], [-73.9712855, 40.7805941], [-73.9712669, 40.7803375], [-73.971246, 40.780325], [-73.9710755, 40.7803321], [-73.9709677, 40.7804233], [-73.9709697, 40.7804301], [-73.9709704, 40.7804385], [-73.9709746, 40.7804383], [-73.9709756, 40.7804523], [-73.9709576, 40.7804531], [-73.9709565, 40.7804391], [-73.9709585, 40.780439], [-73.9709549, 40.7804298], [-73.9709497, 40.7804236], [-73.9709385, 40.7804154], [-73.9709221, 40.7804119], [-73.9709223, 40.7804154], [-73.9708976, 40.7804165], [-73.9708413, 40.780381], [-73.9707481, 40.7804608], [-73.9707648, 40.7804887], [-73.970742, 40.7805182], [-73.9707447, 40.7806202], [-73.9709127, 40.7806146], [-73.970912, 40.7806051], [-73.9709467, 40.7806036], [-73.9709665, 40.7805832], [-73.9709645, 40.7805579], [-73.9709826, 40.7805571], [-73.9709838, 40.780574], [-73.9709789, 40.7805842]]",43,surface,N/A,N/A,"[-73.97101375, 40.780472599999996]","[-1.2910377409754976, 0.7117535173893325]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9712597, 40.7812738], [-73.9714005, 40.7808139], [-73.9712785, 40.7807874], [-73.9711431, 40.7807694], [-73.9710691, 40.7807713], [-73.9709784, 40.7807783], [-73.970909, 40.7807935], [-73.9708303, 40.7808157], [-73.9707675, 40.7808444], [-73.9706846, 40.7808829], [-73.9707787, 40.7809957], [-73.970805, 40.7810187], [-73.970897, 40.7809793], [-73.9709077, 40.7809723], [-73.9711249, 40.7810629], [-73.9711465, 40.7810702], [-73.9711762, 40.7810402], [-73.9712187, 40.7810453], [-73.9711456, 40.7812518], [-73.9712597, 40.7812738]]",43,surface,N/A,N/A,"[-73.97104254999999, 40.7810216]","[-1.291038243630322, 0.711763099246926]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9642686, 40.7940151], [-73.9636025, 40.7937423], [-73.9634751, 40.7936901], [-73.9638753, 40.7931301], [-73.9639247, 40.7930505], [-73.9640613, 40.7931071], [-73.9647271, 40.7933833], [-73.9647073, 40.7934111], [-73.9647657, 40.793435], [-73.9643695, 40.7939898], [-73.9643054, 40.7939636], [-73.9642686, 40.7940151]]",151,N/A,N/A,N/A,"[-73.9641204, 40.7935328]","[-1.2909174293215053, 0.7119814608803015]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9568653, 40.8009798], [-73.9566802, 40.8012275], [-73.9564375, 40.8011259], [-73.9566252, 40.8008752], [-73.9568653, 40.8009798]]",41,N/A,N/A,N/A,"[-73.9566514, 40.80105135]","[-1.2907870706796738, 0.7121126843327773]"
