Location ID,amenity,Parking Station Name,operator,Rate Zone,Zone Info,opening_hours,layer,parking_type,Coordinates,Geometry Type,CenterPoint
243,parking,Edison Parkfast #136,Edison ParkFast,Outerborough,Zone 3 - (All Vehicles $1.25 1st Hour / $2.00 2nd Hour),N/A,N/A,multi-storey,"[-73.9291288, 40.8667239]",Point,"[-73.9291288, 40.8667239]"
234,parking,Icon Parking,N/A,Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),N/A,-1.0,underground,"[-73.9924295, 40.7420457]",Point,"[-73.9924295, 40.7420457]"
230,parking,Unnamed,N/A,Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),N/A,-1.0,underground,"[-73.986507, 40.7614089]",Point,"[-73.986507, 40.7614089]"
230,parking,Icon,N/A,Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),N/A,N/A,garage,"[-73.9810007, 40.7624998]",Point,"[-73.9810007, 40.7624998]"
230,parking,Champion,N/A,Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),N/A,N/A,N/A,"[-73.9814298, 40.7629102]",Point,"[-73.9814298, 40.7629102]"
87,parking,Unnamed,N/A,Financial District,Zone M1 - (Commercial Vehicles $6.00 1st Hour / $7.00 2nd Hour / $8.00 3rd Hour - All Vehicles $4.50 1st Hour / $7.50 2nd Hour),N/A,N/A,N/A,"[-74.0083438, 40.7047343]",Point,"[-74.0083438, 40.7047343]"
88,parking,Unnamed,N/A,Financial District,Zone M1 - (Commercial Vehicles $6.00 1st Hour / $7.00 2nd Hour / $8.00 3rd Hour - All Vehicles $4.50 1st Hour / $7.50 2nd Hour),N/A,N/A,N/A,"[-74.0105832, 40.7052075]",Point,"[-74.0105832, 40.7052075]"
151,parking,Unnamed,Rapid Park,96th St to 110th St,Zone M3 - (All Vehicles $2.50 1st Hour / $4.00 2nd Hour),24/7,N/A,N/A,"[-73.9632817, 40.7945665]",Point,"[-73.9632817, 40.7945665]"
143,parking,Unnamed,Icon Parking Systems,Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),N/A,-1.0,underground,"[-73.982916, 40.7780678]",Point,"[-73.982916, 40.7780678]"
239,parking,Unnamed,Icon Parking Systems,Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),24/7,-1.0,underground,"[-73.9771648, 40.7861813]",Point,"[-73.9771648, 40.7861813]"
238,parking,Unnamed,Icon Parking Systems,Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),24/7,-1.0,underground,"[-73.9768806, 40.7892085]",Point,"[-73.9768806, 40.7892085]"
238,parking,Unnamed,GMC,Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),24/7,N/A,surface,"[-73.9766476, 40.7894063]",Point,"[-73.9766476, 40.7894063]"
238,parking,Unnamed,Icon Parking Systems,Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),24/7,-1.0,underground,"[-73.9741591, 40.7900036]",Point,"[-73.9741591, 40.7900036]"
143,parking,101 West End Parking,Icon Parking,Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),Mo-Fr 06:00-22:00,-1.0,underground,"[-73.9891081, 40.775294]",Point,"[-73.9891081, 40.775294]"
143,parking,Unnamed,Icon Parkin,Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),N/A,-1.0,underground,"[-73.9898705, 40.7753156]",Point,"[-73.9898705, 40.7753156]"
143,parking,Unnamed,Icon Parking,Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),24/7,-1.0,underground,"[-73.9897083, 40.7755428]",Point,"[-73.9897083, 40.7755428]"
239,parking,Unnamed,Quik Park,Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),N/A,-1.0,underground,"[-73.9788877, 40.7831335]",Point,"[-73.9788877, 40.7831335]"
